"","Scientific_Name","Duration","Active_Growth_Period","Foliage_Color","pH_Min","pH_Max","Precip_Min","Precip_Max","Shade_Tolerance","Temp_Min_F"
"92","Agrimonia parviflora","Perennial","Spring and Summer","Green",6,8,24,50,"Intermediate",-33
"93","Agrimonia pubescens","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"94","Agrimonia rostellata","Perennial","Spring","Green",4.5,7,35,50,"Intermediate",-33
"95","Agrimonia striata","Perennial","Spring and Summer","Green",5.5,7.5,8,45,"Tolerant",-43
"96","Agrostemma",NA,NA,NA,NA,NA,NA,NA,NA,NA
"97","Agrostemma githago","Annual",NA,NA,NA,NA,NA,NA,NA,NA
"98","Agrostis",NA,NA,NA,NA,NA,NA,NA,NA,NA
"99","Agrostis canina","Perennial","Spring and Summer","Green",5,7.5,30,60,"Intolerant",-33
"100","Agrostis capillaris","Perennial","Spring and Summer","Green",4.9,7.5,32,60,"Intolerant",-53
"101","Agrostis elliottiana","Annual",NA,NA,NA,NA,NA,NA,NA,NA
"102","Agrostis gigantea","Perennial","Spring and Summer","Green",4.5,8,28,60,"Intolerant",-38
"103","Agrostis hyemalis","Perennial","Spring, Summer, Fall","Green",5,7.5,20,45,"Intermediate",-33
"104","Agrostis perennans","Perennial","Spring, Summer, Fall","Green",5.5,7.5,32,56,"Intermediate",-33
"105","Agrostis scabra","Perennial","Spring","Green",6,8,14,60,"Intolerant",-38
"106","Agrostis stolonifera","Perennial","Spring and Summer","Green",5.1,7.5,32,60,"Intolerant",-53
"107","Ailanthus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"108","Ailanthus altissima","Perennial","Spring and Summer","Green",4.1,7.9,14,90,"Intolerant",-18
"109","Aira",NA,NA,NA,NA,NA,NA,NA,NA,NA
"110","Aira caryophyllea","Annual",NA,NA,NA,NA,NA,NA,NA,NA
"111","Aira caryophyllea var. caryophyllea","Annual",NA,NA,NA,NA,NA,NA,NA,NA
"112","Aira elegans","Annual",NA,NA,NA,NA,NA,NA,NA,NA
"113","Aira praecox","Annual",NA,NA,NA,NA,NA,NA,NA,NA
"114","Ajuga",NA,NA,NA,NA,NA,NA,NA,NA,NA
"115","Ajuga chamaepitys","Annual",NA,NA,NA,NA,NA,NA,NA,NA
"116","Ajuga genevensis","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"117","Ajuga reptans","Perennial","Spring, Summer, Fall","Green",5.5,7.5,35,65,"Tolerant",-23
"118","Akebia",NA,NA,NA,NA,NA,NA,NA,NA,NA
"119","Akebia quinata","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"120","Albizia",NA,NA,NA,NA,NA,NA,NA,NA,NA
"121","Albizia julibrissin","Perennial","Spring and Summer","White-Gray",4.8,7.3,30,60,"Intolerant",2
"122","Alcea",NA,NA,NA,NA,NA,NA,NA,NA,NA
"123","Alcea rosea","Biennial, Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"124","Aletris",NA,NA,NA,NA,NA,NA,NA,NA,NA
"125","Aletris aurea","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"126","Aletris farinosa","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"127","Alisma",NA,NA,NA,NA,NA,NA,NA,NA,NA
"128","Alisma subcordatum","Perennial","Spring and Summer","Green",5,7,35,60,"Intolerant",-33
"129","Alisma triviale","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"130","Alliaria",NA,NA,NA,NA,NA,NA,NA,NA,NA
"131","Alliaria petiolata","Annual, Biennial",NA,NA,NA,NA,NA,NA,NA,NA
"132","Allium",NA,NA,NA,NA,NA,NA,NA,NA,NA
"133","Allium canadense","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"134","Allium canadense var. canadense","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"135","Allium cernuum","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"136","Allium cernuum var. cernuum","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"137","Allium sativum","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"138","Allium schoenoprasum","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"139","Allium schoenoprasum var. sibiricum","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"140","Allium tricoccum","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"141","Allium vineale","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"142","Allium vineale ssp. vineale","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"143","Alloteropsis",NA,NA,NA,NA,NA,NA,NA,NA,NA
"144","Alloteropsis cimicina","Annual",NA,NA,NA,NA,NA,NA,NA,NA
"145","Alnus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"146","Alnus incana","Perennial","Spring and Summer","Green",5,7,32,60,"Intermediate",-33
"147","Alnus incana ssp. rugosa","Perennial","Spring and Summer","Dark Green",4.8,7.7,21,65,"Intermediate",-47
"148","Alnus maritima","Perennial","Spring and Summer","Green",5,7,36,50,"Intermediate",2
"149","Alnus serrulata","Perennial","Spring and Summer","Green",5,7,32,60,"Intolerant",-23
"150","Alopecurus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"151","Alopecurus aequalis","Perennial","Spring and Summer","Green",5.5,8,18,45,"Intermediate",-38
"152","Alopecurus aequalis var. aequalis","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"153","Alopecurus carolinianus","Annual","Spring","Green",4,7.5,15,60,"Intolerant",-43
"154","Alopecurus geniculatus","Perennial","Spring","Green",4,7.5,20,45,"Intolerant",-43
"155","Alopecurus geniculatus var. geniculatus","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"156","Alopecurus myosuroides","Annual","Spring","Green",4,7.5,35,55,"Intolerant",-28
"157","Alopecurus pratensis","Perennial","Spring and Summer","Green",5.8,8,18,60,"Intolerant",-38
"158","Alternanthera",NA,NA,NA,NA,NA,NA,NA,NA,NA
"159","Alternanthera bettzichiana","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"160","Alternanthera caracasana","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"161","Alternanthera ficoidea","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"162","Alternanthera sessilis","Annual, Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"163","Althaea",NA,NA,NA,NA,NA,NA,NA,NA,NA
"164","Althaea officinalis","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"165","Alyssum",NA,NA,NA,NA,NA,NA,NA,NA,NA
"166","Alyssum alyssoides","Annual, Biennial",NA,NA,NA,NA,NA,NA,NA,NA
"167","Amaranthus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"168","Amaranthus albus","Annual",NA,NA,NA,NA,NA,NA,NA,NA
"169","Amaranthus blitoides","Annual",NA,NA,NA,NA,NA,NA,NA,NA
"170","Amaranthus blitum","Annual",NA,NA,NA,NA,NA,NA,NA,NA
"171","Amaranthus blitum var. emarginatus","Annual",NA,NA,NA,NA,NA,NA,NA,NA
"172","Amaranthus cannabinus","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"173","Amaranthus cruentus","Annual",NA,NA,NA,NA,NA,NA,NA,NA
"174","Amaranthus deflexus","Annual",NA,NA,NA,NA,NA,NA,NA,NA
"175","Amaranthus hybridus","Annual",NA,NA,NA,NA,NA,NA,NA,NA
"176","Amaranthus palmeri","Annual",NA,NA,NA,NA,NA,NA,NA,NA
"177","Amaranthus pumilus","Annual",NA,NA,NA,NA,NA,NA,NA,NA
"178","Amaranthus retroflexus","Annual",NA,NA,NA,NA,NA,NA,NA,NA
"179","Amaranthus spinosus","Annual",NA,NA,NA,NA,NA,NA,NA,NA
"180","Ambrosia",NA,NA,NA,NA,NA,NA,NA,NA,NA
"181","Ambrosia artemisiifolia","Annual",NA,NA,NA,NA,NA,NA,NA,NA
"182","Ambrosia artemisiifolia var. elatior","Annual",NA,NA,NA,NA,NA,NA,NA,NA
"183","Ambrosia bidentata","Annual",NA,NA,NA,NA,NA,NA,NA,NA
"184","Ambrosia trifida","Annual",NA,NA,NA,NA,NA,NA,NA,NA
"185","Ambrosia trifida var. trifida","Annual",NA,NA,NA,NA,NA,NA,NA,NA
"186","Amelanchier",NA,NA,NA,NA,NA,NA,NA,NA,NA
"187","Amelanchier arborea","Perennial","Spring and Summer","Dark Green",4.8,7.5,26,80,"Tolerant",-47
"188","Amelanchier arborea var. arborea","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"189","Amelanchier canadensis","Perennial","Spring and Summer","Green",5.5,7.5,30,60,"Intermediate",-33
"190","Amelanchier humilis","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"191","Amelanchier ×intermedia","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"192","Amelanchier laevis","Perennial","Spring and Summer","Green",4.8,7,34,60,"Tolerant",-38
"193","Amelanchier nantucketensis","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"194","Amelanchier obovalis","Perennial","Spring","Dark Green",5,7,30,90,"Intolerant",-23
"195","Amelanchier sanguinea","Perennial","Spring and Summer","Green",4.5,7.2,35,55,"Tolerant",-43
"196","Amelanchier sanguinea var. sanguinea","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"197","Amelanchier stolonifera","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"198","Amianthium",NA,NA,NA,NA,NA,NA,NA,NA,NA
"199","Amianthium muscitoxicum","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"200","Ammannia",NA,NA,NA,NA,NA,NA,NA,NA,NA
"201","Ammannia coccinea","Annual","Spring","Green",4,5.9,16,60,"Intolerant",-38
"202","Ammannia latifolia","Annual",NA,NA,NA,NA,NA,NA,NA,NA
"203","Ammophila",NA,NA,NA,NA,NA,NA,NA,NA,NA
"204","Ammophila arenaria","Perennial","Spring and Fall","Green",6,8.5,30,60,"Intolerant",7
"205","Ammophila breviligulata","Perennial","Spring, Summer, Fall","Green",5.8,7.8,35,60,"Intolerant",-28
"206","Amorpha",NA,NA,NA,NA,NA,NA,NA,NA,NA
"207","Amorpha fruticosa","Perennial","Spring and Summer","Green",5,8.5,10,65,"Intolerant",-38
"208","Ampelopsis",NA,NA,NA,NA,NA,NA,NA,NA,NA
"209","Ampelopsis arborea","Perennial","Summer","Green",4,8,35,60,"Tolerant",-13
"210","Ampelopsis brevipedunculata","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"211","Ampelopsis cordata","Perennial","Spring and Summer","Green",5.2,7.4,32,60,"Tolerant",-8
"212","Amphicarpaea",NA,NA,NA,NA,NA,NA,NA,NA,NA
"213","Amphicarpaea bracteata","Annual, Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"214","Amphicarpaea bracteata var. bracteata","Annual, Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"215","Amphicarpaea bracteata var. comosa","Annual, Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"216","Amphicarpum",NA,NA,NA,NA,NA,NA,NA,NA,NA
"217","Amphicarpum purshii","Annual, Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"218","Amsonia",NA,NA,NA,NA,NA,NA,NA,NA,NA
"219","Amsonia tabernaemontana","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"220","Amsonia tabernaemontana var. tabernaemontana","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"221","Anagallis",NA,NA,NA,NA,NA,NA,NA,NA,NA
"222","Anagallis arvensis","Annual, Biennial",NA,NA,NA,NA,NA,NA,NA,NA
"223","Anagallis arvensis ssp. arvensis","Annual, Biennial",NA,NA,NA,NA,NA,NA,NA,NA
"224","Anagallis minima","Annual",NA,NA,NA,NA,NA,NA,NA,NA
"225","Anaphalis",NA,NA,NA,NA,NA,NA,NA,NA,NA
"226","Anaphalis margaritacea","Perennial","Spring and Summer","Green",6,7.5,10,35,"Intermediate",-43
"227","Anchusa",NA,NA,NA,NA,NA,NA,NA,NA,NA
"228","Anchusa arvensis","Annual",NA,NA,NA,NA,NA,NA,NA,NA
"229","Anchusa azurea","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"230","Andropogon",NA,NA,NA,NA,NA,NA,NA,NA,NA
"231","Andropogon gerardii","Perennial","Summer","Green",6,7.5,12,55,"Intolerant",-46
"232","Andropogon glaucopsis","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"233","Andropogon glomeratus","Perennial","Summer","Green",5,6.3,35,70,"Intolerant",-23
"234","Andropogon glomeratus var. glomeratus","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"235","Andropogon glomeratus var. hirsutior","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"236","Andropogon gyrans","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"237","Andropogon gyrans var. gyrans","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"238","Andropogon ternarius","Perennial","Summer","Green",4,7.5,20,60,"Tolerant",-18
"239","Andropogon ternarius var. ternarius","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"240","Andropogon virginicus","Perennial","Summer","Green",4.9,7,30,45,"Intolerant",-18
"241","Andropogon virginicus var. virginicus","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"242","Anemone",NA,NA,NA,NA,NA,NA,NA,NA,NA
"243","Anemone canadensis","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"244","Anemone lancifolia","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"245","Anemone quinquefolia","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"246","Anemone quinquefolia var. quinquefolia","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"247","Anemone virginiana","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"248","Anemone virginiana var. virginiana","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"249","Anethum",NA,NA,NA,NA,NA,NA,NA,NA,NA
"250","Anethum graveolens","Annual",NA,NA,NA,NA,NA,NA,NA,NA
"251","Angelica",NA,NA,NA,NA,NA,NA,NA,NA,NA
"252","Angelica atropurpurea","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"253","Angelica triquinata","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"254","Angelica venenosa","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"255","Antennaria",NA,NA,NA,NA,NA,NA,NA,NA,NA
"256","Antennaria howellii","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"257","Antennaria howellii ssp. neodioica","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"258","Antennaria neglecta","Perennial","Spring and Summer","Dark Green",5.5,7.5,11,60,"Intolerant",-38
"259","Antennaria parlinii","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"260","Antennaria parlinii ssp. fallax","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"261","Antennaria parlinii ssp. parlinii","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"262","Antennaria plantaginifolia","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"263","Antennaria solitaria","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"264","Antennaria virginica","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"265","Anthemis",NA,NA,NA,NA,NA,NA,NA,NA,NA
"266","Anthemis arvensis","Annual",NA,NA,NA,NA,NA,NA,NA,NA
"267","Anthemis cotula","Annual",NA,NA,NA,NA,NA,NA,NA,NA
"268","Anthemis tinctoria","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"269","Anthoxanthum",NA,NA,NA,NA,NA,NA,NA,NA,NA
"270","Anthoxanthum odoratum","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"271","Anthoxanthum odoratum ssp. odoratum","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"272","Anthriscus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"273","Anthriscus sylvestris","Annual, Biennial",NA,NA,NA,NA,NA,NA,NA,NA
"274","Apera",NA,NA,NA,NA,NA,NA,NA,NA,NA
"275","Apera spica-venti","Annual",NA,NA,NA,NA,NA,NA,NA,NA
"276","Aphanes",NA,NA,NA,NA,NA,NA,NA,NA,NA
"277","Aphanes microcarpa","Annual",NA,NA,NA,NA,NA,NA,NA,NA
"278","Apios",NA,NA,NA,NA,NA,NA,NA,NA,NA
"279","Apios americana","Perennial","Spring and Summer","Green",6,7.5,28,55,"Tolerant",-23
"280","Aplectrum",NA,NA,NA,NA,NA,NA,NA,NA,NA
"281","Aplectrum hyemale","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"282","Apluda",NA,NA,NA,NA,NA,NA,NA,NA,NA
"283","Apluda mutica","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"284","Apocynum",NA,NA,NA,NA,NA,NA,NA,NA,NA
"285","Apocynum androsaemifolium","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"286","Apocynum cannabinum","Perennial","Spring and Summer","Green",4.5,7,15,60,"Intermediate",-43
"287","Apocynum ×floribundum","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"288","Aquilegia",NA,NA,NA,NA,NA,NA,NA,NA,NA
"289","Aquilegia canadensis","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"290","Aquilegia vulgaris","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"291","Arabidopsis",NA,NA,NA,NA,NA,NA,NA,NA,NA
"292","Arabidopsis thaliana","Annual",NA,NA,NA,NA,NA,NA,NA,NA
"293","Arabis",NA,NA,NA,NA,NA,NA,NA,NA,NA
"294","Arabis canadensis","Biennial",NA,NA,NA,NA,NA,NA,NA,NA
"295","Arabis glabra","Annual, Biennial, Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"296","Arabis hirsuta","Annual, Biennial, Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"297","Arabis hirsuta var. pycnocarpa","Annual, Biennial, Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"298","Arabis laevigata","Biennial",NA,NA,NA,NA,NA,NA,NA,NA
"299","Arabis laevigata var. burkii","Biennial",NA,NA,NA,NA,NA,NA,NA,NA
"300","Arabis laevigata var. laevigata","Biennial",NA,NA,NA,NA,NA,NA,NA,NA
"301","Arabis lyrata","Biennial, Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"302","Arabis missouriensis","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"303","Arabis patens","Biennial",NA,NA,NA,NA,NA,NA,NA,NA
"304","Arabis shortii","Biennial, Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"305","Aralia",NA,NA,NA,NA,NA,NA,NA,NA,NA
"306","Aralia hispida","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"307","Aralia nudicaulis","Perennial","Spring and Summer","Dark Green",5,7.2,32,50,"Tolerant",-38
"308","Aralia racemosa","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"309","Aralia racemosa ssp. racemosa","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
"310","Aralia spinosa","Perennial","Spring and Summer","Green",4.8,6.6,35,80,"Intolerant",-25
"311","Arctium",NA,NA,NA,NA,NA,NA,NA,NA,NA
"312","Arctium lappa","Biennial",NA,NA,NA,NA,NA,NA,NA,NA
"313","Arctium minus","Biennial",NA,NA,NA,NA,NA,NA,NA,NA
"314","Arctium tomentosum","Biennial",NA,NA,NA,NA,NA,NA,NA,NA
"315","Arctostaphylos",NA,NA,NA,NA,NA,NA,NA,NA,NA
"316","Arctostaphylos uva-ursi","Perennial","Spring and Summer","Dark Green",5.5,8,14,45,"Intermediate",-33
"317","Arenaria",NA,NA,NA,NA,NA,NA,NA,NA,NA
"318","Arenaria serpyllifolia","Annual",NA,NA,NA,NA,NA,NA,NA,NA
"319","Arethusa",NA,NA,NA,NA,NA,NA,NA,NA,NA
"320","Arethusa bulbosa","Perennial",NA,NA,NA,NA,NA,NA,NA,NA
